索引路径：[根节点] | 层级0 | 名称： | 类型：其他(50030) | 可用：1
  索引路径：[0] | 层级1 | 名称： | 类型：其他(50026) | 可用：1
    索引路径：[0][0] | 层级2 | 名称： | 类型：其他(50026) | 可用：1
      索引路径：[0][0][0] | 层级3 | 名称： | 类型：其他(50026) | 可用：1
      索引路径：[0][0][1] | 层级3 | 名称： | 类型：其他(50026) | 可用：1
    索引路径：[0][1] | 层级2 | 名称： | 类型：其他(50026) | 可用：1
      索引路径：[0][1][0] | 层级3 | 名称：窗口控制区域 | 类型：其他(50032) | 可用：1
        索引路径：[0][1][0][0] | 层级4 | 名称：切换为经典模式 | 类型：其他(50000) | 可用：1
          索引路径：[0][1][0][0][0] | 层级5 | 名称： | 类型：其他(50006) | 可用：1
        索引路径：[0][1][0][1] | 层级4 | 名称：最小化 | 类型：其他(50000) | 可用：1
          索引路径：[0][1][0][1][0] | 层级5 | 名称： | 类型：其他(50006) | 可用：1
        索引路径：[0][1][0][2] | 层级4 | 名称：最大化 | 类型：其他(50000) | 可用：1
          索引路径：[0][1][0][2][0] | 层级5 | 名称： | 类型：其他(50006) | 可用：1
        索引路径：[0][1][0][3] | 层级4 | 名称：关闭 | 类型：其他(50000) | 可用：1
          索引路径：[0][1][0][3][0] | 层级5 | 名称： | 类型：其他(50006) | 可用：1
      索引路径：[0][1][1] | 层级3 | 名称： | 类型：其他(50026) | 可用：1
        索引路径：[0][1][1][0] | 层级4 | 名称： | 类型：其他(50026) | 可用：1
        索引路径：[0][1][1][1] | 层级4 | 名称： | 类型：其他(50006) | 可用：1
        索引路径：[0][1][1][2] | 层级4 | 名称： | 类型：其他(50026) | 可用：1
          索引路径：[0][1][1][2][0] | 层级5 | 名称： | 类型：其他(50026) | 可用：1
            索引路径：[0][1][1][2][0][0] | 层级6 | 名称：♡碧叶晴天♡的头像 | 类型：其他(50000) | 可用：1
            索引路径：[0][1][1][2][0][1] | 层级6 | 名称：在线状态 | 类型：其他(50000) | 可用：1
          索引路径：[0][1][1][2][1] | 层级5 | 名称： | 类型：其他(50026) | 可用：1
            索引路径：[0][1][1][2][1][0] | 层级6 | 名称： | 类型：其他(50026) | 可用：1
              索引路径：[0][1][1][2][1][0][0] | 层级7 | 名称：♡碧叶晴天♡ | 类型：其他(50020) | 可用：1
          索引路径：[0][1][1][2][2] | 层级5 | 名称： | 类型：其他(50026) | 可用：1
            索引路径：[0][1][1][2][2][0] | 层级6 | 名称：个性签名:吾乃天选之种，黑暗于宇宙滋生，直至世间堕落深渊！,点击编辑 | 类型：其他(50000) | 可用：1
          索引路径：[0][1][1][2][3] | 层级5 | 名称：天气:多云,点击查看详情 | 类型：其他(50000) | 可用：1
            索引路径：[0][1][1][2][3][0] | 层级6 | 名称： | 类型：其他(50006) | 可用：1
            索引路径：[0][1][1][2][3][1] | 层级6 | 名称：多云 | 类型：其他(50020) | 可用：1
